session,flagged,kept,score,controls,seconds,geo_010,geo_004,geo_001,geo_013,sci_017,geo_012,sci_002
0,5,3,4,1,3201,✗✗✗✓,✗✗✗✗,✓✓✓✗,✗✗✗✗,✗✗✗✗,✗,✓
1,4,1,4,2,2199,✓✗✗✓,✗✗✗✗,✓✗✓✗,✗✗✗✗,✗✗✗✗,✓,✓
2,3,1,11,2,1855,✓✓✓✗,✗✗✗✗,✓✓✓✓,✓✗✓✓,✗✗✗✓,✓,✓
3,2,0,11,2,1455,✓✓✓✗,✗✗✗✗,✓✓✓✓,✓✗✓✓,✗✗✗✓,✓,✓
4,2,0,11,2,1590,✓✓✓✗,✗✗✗✗,✓✓✓✓,✓✗✓✓,✗✗✗✓,✓,✓
5,2,0,11,2,1447,✓✓✓✗,✗✗✗✗,✓✓✓✓,✓✗✓✓,✗✗✗✓,✓,✓
6,2,0,11,2,1179,✓✓✓✗,✗✗✗✗,✓✓✓✓,✓✗✓✓,✗✗✗✓,✓,✓
7,2,0,11,2,1405,✓✓✓✗,✗✗✗✗,✓✓✓✓,✓✗✓✓,✗✗✗✓,✓,✓
8,2,0,11,2,1396,✓✓✓✗,✗✗✗✗,✓✓✓✓,✓✗✓✓,✗✗✗✓,✓,✓
9,2,0,11,2,1349,✓✓✓✗,✗✗✗✗,✓✓✓✓,✓✗✓✓,✗✗✗✓,✓,✓
10,2,1,7,1,1742,✓✗✗✗,✗✗✗✗,✓✓✓✓,✗✗✓✓,✗✗✗✗,✗,✓
11,3,0,7,1,2221,✓✗✗✗,✗✗✗✗,✓✓✓✓,✗✗✓✓,✗✗✗✗,✗,✓
12,3,1,6,2,2225,✓✗✗✓,✗✗✗✗,✗✓✗✓,✓✗✗✗,✓✗✗✗,✓,✓
13,2,1,9,1,1637,✗✗✓✓,✗✗✗✗,✓✓✓✓,✓✓✗✓,✗✗✗✗,✗,✓
14,3,2,7,2,2353,✗✓✓✓,✗✗✗✗,✗✓✓✓,✗✗✓✗,✗✗✗✗,✓,✓
15,5,1,10,2,3179,✓✓✓✓,✗✗✗✗,✓✓✓✓,✗✗✓✗,✗✓✗✗,✓,✓
