cycle,score,loops,geo_010,geo_004,geo_001,geo_013,sci_017
0,8,3,✓✓✓✓,✗✗✗✗,✗✓✓✓,✗✗✗✗,✗✓✗✗
1,7,4,✓✓✓✓,✗✗✗✗,✓✗✓✓,✗✗✗✗,✗✗✗✗
2,8,5,✓✗✓✓,✗✗✗✗,✓✓✓✓,✗✗✗✗,✗✓✗✗
3,9,1,✗✓✓✓,✗✗✗✗,✓✓✓✓,✗✗✓✗,✗✓✗✗
4,11,3,✓✓✓✓,✗✗✗✗,✓✓✓✓,✗✗✓✗,✗✓✗✓
5,11,2,✓✓✓✓,✗✗✗✗,✓✓✓✓,✗✗✗✗,✗✓✓✓
6,10,2,✗✓✓✓,✗✗✗✗,✓✓✓✓,✗✗✗✗,✗✓✓✓
7,12,4,✓✓✓✓,✗✗✗✗,✓✓✓✓,✗✗✗✗,✓✓✓✓
8,13,4,✓✓✓✓,✗✗✗✗,✓✓✓✓,✗✗✗✓,✓✓✓✓
9,11,3,✓✓✓✓,✗✗✗✗,✓✓✗✓,✗✗✗✓,✓✓✗✓
10,12,4,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✗✗✗,✓✓✗✓
11,13,2,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✗✗✗,✓✓✓✓
12,13,2,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✗✗✗,✓✓✓✓
13,14,2,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✗✗,✓✓✓✓
14,15,1,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✗✓,✓✓✓✓
15,15,1,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✗✓,✓✓✓✓
16,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
17,14,2,✓✗✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✗✓✓
18,11,6,✓✓✗✗,✗✗✗✗,✓✓✓✓,✗✗✗✓,✓✓✓✓
19,11,7,✓✗✗✓,✗✗✗✗,✓✗✓✓,✓✗✗✓,✓✓✓✓
20,13,6,✓✓✗✓,✓✗✗✗,✓✗✓✓,✓✗✗✓,✓✓✓✓
21,10,10,✗✗✓✓,✓✗✗✗,✗✓✗✓,✗✗✓✓,✓✓✗✓
22,10,10,✗✓✗✗,✗✗✗✗,✓✗✗✗,✓✓✓✓,✓✓✓✓
23,18,1,✓✓✓✓,✓✗✗✓,✓✓✓✓,✓✓✓✓,✓✓✓✓
24,18,1,✓✓✓✓,✓✗✗✓,✓✓✓✓,✓✓✓✓,✓✓✓✓
25,15,4,✓✓✓✓,✗✗✓✗,✓✗✓✓,✓✓✓✓,✓✓✗✓
26,19,1,✓✓✓✓,✓✓✓✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
27,18,2,✓✓✓✓,✓✓✓✗,✓✓✓✓,✓✓✗✓,✓✓✓✓
28,13,7,✗✓✗✓,✓✓✓✗,✗✓✗✓,✓✓✗✓,✓✓✗✓
29,14,5,✓✓✓✓,✓✓✓✗,✓✗✗✓,✗✓✓✓,✗✓✓✗
30,13,7,✓✓✓✗,✗✓✓✓,✗✓✗✓,✓✗✓✓,✗✓✓✗
31,7,13,✗✓✗✓,✗✗✗✗,✗✓✗✓,✗✗✗✓,✗✓✗✓
32,8,12,✗✗✗✗,✓✓✗✗,✗✗✗✓,✓✗✗✓,✓✓✗✓
33,14,6,✓✓✓✓,✓✗✗✓,✓✓✗✓,✓✗✗✓,✓✓✗✓
34,9,11,✓✗✓✗,✓✗✗✓,✓✗✗✗,✓✗✗✓,✓✗✓✗
35,7,13,✓✗✗✗,✗✗✗✗,✓✗✗✓,✓✗✗✓,✓✗✓✗
36,13,7,✓✓✗✓,✓✓✗✓,✓✗✗✓,✓✓✗✓,✓✗✗✓
37,18,2,✓✓✗✓,✓✓✓✓,✓✓✗✓,✓✓✓✓,✓✓✓✓
38,19,0,✓✓✓✓,✓✓✓✓,✓✓✓✓,✓✓✗✓,✓✓✓✓
39,18,0,✓✓✓✓,✓✓✗✓,✓✓✓✓,✓✓✗✓,✓✓✓✓
