cycle,score,loops,geo_010,geo_004,geo_001,geo_013,sci_017
0,8,4,✗✓✓✓,✗✗✗✗,✓✓✓✓,✗✗✗✗,✗✓✗✗
1,9,5,✗✓✓✓,✗✗✗✗,✓✓✓✓,✗✗✗✗,✓✗✗✓
2,11,6,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✗✗✓,✓✗✗✗
3,9,7,✗✗✓✓,✗✗✗✗,✓✓✓✓,✗✗✓✓,✓✗✗✗
4,13,2,✓✗✓✓,✗✗✗✗,✓✗✓✓,✓✓✓✓,✗✓✓✓
5,15,1,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✗✓✓,✓✓✓✓
6,14,2,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✗✓,✗✓✓✓
7,15,1,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✗✓✓✓
8,15,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✗✓
9,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
10,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
11,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
12,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
13,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
14,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
15,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
16,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
17,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
18,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
19,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
20,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
21,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
22,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
23,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
24,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
25,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
26,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
27,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
28,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
29,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
30,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
31,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
32,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
33,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
34,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
35,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
36,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
37,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
38,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
39,16,0,✓✓✓✓,✗✗✗✗,✓✓✓✓,✓✓✓✓,✓✓✓✓
